sentence,sentiment
"EM ASIA FX-Yuan's slide ruffles [TGT]; won, rupiah hit 2-mth lows",negative
[TGT] stock more than doubles in a year; LIC big gainer,positive
Essar Oil stock more than doubles in a year; [TGT] big gainer,positive
"[TGT] dips on caution ahead of bank stress test results, yen firm",negative
"Euro dips on caution ahead of bank stress test results, [TGT] firm",neutral
"Euro inches away from 2-1/2-month lows, fall in US yields hurts [TGT]",negative
"[TGT] inches away from 2-1/2-month lows, fall in US yields hurts dollar",neutral
Five factors that are making markets nervous; [TGT] slips over 100 points,negative
"[TGT], auto and cement stocks likely to be hit by poor monsoon",negative
"FMCG, [TGT] and cement stocks likely to be hit by poor monsoon",negative
"FMCG, auto and [TGT] likely to be hit by poor monsoon",negative
Focus on quality in [TGT] & largecaps; 10 stocks to bet on,neutral
Focus on quality in midcaps & [TGT]; 10 stocks to bet on,neutral
"Hopes of kerosene, LPG price hike fuel gains in [TGT], gas stocks",positive
"Hopes of kerosene, LPG price hike fuel gains in oil, [TGT]",positive
"[TGT], TCS, Asian Paints, Lupin show resilience in a falling market: CLSA",positive
"HUL, [TGT], Asian Paints, Lupin show resilience in a falling market: CLSA",positive
"HUL, TCS, [TGT], Lupin show resilience in a falling market: CLSA",positive
"HUL, TCS, Asian Paints, [TGT] show resilience in a falling market: CLSA",positive
"HUL, TCS, Asian Paints, Lupin show resilience in a falling market: [TGT]",neutral
"[TGT] up nearly 6% as EGoM okays share sale to ONGC, OIL",positive
"IOC up nearly 6% as EGoM okays share sale to [TGT], OIL",neutral
"IOC up nearly 6% as EGoM okays share sale to ONGC, [TGT]",neutral
"Lok Sabha elections 2014: [TGT] closes at 24,121.74, Nifty ends at 7,203",neutral
"Lok Sabha elections 2014: Sensex closes at 24,121.74, [TGT] ends at 7,203",neutral
"[TGT], Power Grid, Zee Entertainment to be deleted from MSCI India Index",negative
"Lupin, [TGT], Zee Entertainment to be deleted from MSCI India Index",negative
"Lupin, Power Grid, [TGT] to be deleted from MSCI India Index",negative
"Lupin, Power Grid, Zee Entertainment to be deleted from [TGT]",neutral
"Major increase in support price for [TGT], moong, tur & urad likely",positive
"Major increase in support price for paddy, [TGT], tur & urad likely",positive
"Major increase in support price for paddy, moong, [TGT] & urad likely",positive
"Major increase in support price for paddy, moong, tur & [TGT] likely",positive
"[TGT], Quick Heal get nod for IPOs; may raise Rs 1k cr",positive
"Matrimony.com, [TGT] get nod for IPOs; may raise Rs 1k cr",positive
[TGT] shares in a free fall as ICICI Bank trims stake,negative
3i Infotech shares in a free fall as [TGT] trims stake,neutral
"[TGT] drops on fall in retail sales, New Zealand dollar steady",negative
"Aussie dollar drops on fall in retail sales, [TGT] steady",neutral
"[TGT], New Zealand dollars continue gains as Greece offers plan, China rebounds",positive
"Australia, [TGT]s continue gains as Greece offers plan, China rebounds",positive
"Australian dollar struggles ahead of RBA review, [TGT] edges up",positive
"[TGT] struggles ahead of RBA review, New Zealand dollar edges up",negative
"[TGT], banking cos down over 7% on interest rate, fuel hike fears",negative
"Auto, [TGT] down over 7% on interest rate, fuel hike fears",negative
"[TGT], IT stocks to underperform Nifty in the short run: Ashwani Gujral",negative
"Bank, [TGT] to underperform Nifty in the short run: Ashwani Gujral",negative
"Bank, IT stocks to underperform [TGT] in the short run: Ashwani Gujral",neutral
"[TGT], capital goods, metal companies take Sensex & Nifty to new peak",positive
"Banks, [TGT], metal companies take Sensex & Nifty to new peak",positive
"Banks, capital goods, [TGT] take Sensex & Nifty to new peak",positive
"Bearish on [TGT] and Jain Irrigation: Seshadri Bharathan, KSEMA Fincon Ltd.",positive
"Bearish on United Phosphorous and [TGT]: Seshadri Bharathan, KSEMA Fincon Ltd.",positive
"Bearish on United Phosphorous and Jain Irrigation: Seshadri Bharathan, [TGT]",neutral
"Bullish on Century Textiles but [TGT], Raymond are better performers: Ashwani Gujral",positive
"Bullish on Century Textiles but Arvind, [TGT] are better performers: Ashwani Gujral",positive
"Bullish on [TGT] but Arvind, Raymond are better performers: Ashwani Gujral",positive
"[TGT], ONGC, and Oil India shares fall with global crude crash",negative
"Cairn India, [TGT], and Oil India shares fall with global crude crash",negative
"Cairn India, ONGC, and [TGT] shares fall with global crude crash",negative
"Chart Check from Angel Broking for Friday, March 02: [TGT], M&M",neutral
"Chart Check from Angel Broking for Friday, March 02: Colgate Palmolive, [TGT]",neutral
"Chart Check from Angel Broking for Tuesday, March 27: [TGT], United Spirits",neutral
"Chart Check from Angel Broking for Tuesday, March 27: IVRCL, [TGT]",neutral
"Chart Check from IIFL Private Wealth for Monday, March 19: [TGT], Ranbaxy",neutral
"Chart Check from IIFL Private Wealth for Monday, March 19: Idea, [TGT]",neutral
"[TGT], Hong Kong stocks rise, banks surge on local govt debt scheme",positive
"China, [TGT] rise, banks surge on local govt debt scheme",positive
"China, Hong Kong stocks rise, [TGT] surge on local govt debt scheme",positive
Cyclicals like [TGT] and ICICI Bank have rallied too sharply: Pramod Gubbi,positive
Cyclicals like L&T and [TGT] have rallied too sharply: Pramod Gubbi,positive
"[TGT] gains 20% in 2 days; Goldman, HDFC fund picking shares",positive
"Dynamatic Tech gains 20% in 2 days; [TGT], HDFC fund picking shares",neutral
"Dynamatic Tech gains 20% in 2 days; Goldman, [TGT] picking shares",neutral
"Euro falls to two-year low against dollar, [TGT] and Bunds rise",positive
"Euro falls to two-year low against dollar, European shares and [TGT] rise",positive
"[TGT] falls to two-year low against dollar, European shares and Bunds rise",negative
"[TGT], Shanghai Stock Exchange tie up to boost data business in China",neutral
"Euronext, [TGT] tie up to boost data business in China",neutral
[TGT] and Karnataka Bank safe bets in PSU banks: Mehraboon Irani,positive
Federal Bank and [TGT] safe bets in PSU banks: Mehraboon Irani,positive
"FMCG Index gains on GST roll-out hopes; [TGT], Colgate hit 52-week high",positive
"FMCG Index gains on GST roll-out hopes; HUL, [TGT] hit 52-week high",positive
"[TGT] gains on GST roll-out hopes; HUL, Colgate hit 52-week high",positive
"[TGT] power to new high; euro, US Federal Reserve in focus",positive
"German stocks power to new high; [TGT], US Federal Reserve in focus",neutral
"German stocks power to new high; euro, [TGT] in focus",neutral
"[TGT], JSPL tank as Supreme Court rules coal allocation post 1992 illegal",negative
"Hindalco, [TGT] tank as Supreme Court rules coal allocation post 1992 illegal",negative
"[TGT], JSPL worst hit by Supreme Court order on coal block allocation",negative
"Hindalco, [TGT] worst hit by Supreme Court order on coal block allocation",negative
"[TGT], steel and banking stocks in for a good run: Tarun Kataria",positive
"Infrastructure, [TGT] and banking stocks in for a good run: Tarun Kataria",positive
"Infrastructure, steel and [TGT] in for a good run: Tarun Kataria",positive
"[TGT], HPCL, BPCL rally on last week's petrol & diesel price hike",positive
"IOC, [TGT], BPCL rally on last week's petrol & diesel price hike",positive
"IOC, HPCL, [TGT] rally on last week's petrol & diesel price hike",positive
"[TGT], Maruti, Strides Shasun among top 5 buy ideas from top brokerages",positive
"L&T, [TGT], Strides Shasun among top 5 buy ideas from top brokerages",positive
"L&T, Maruti, [TGT] among top 5 buy ideas from top brokerages",positive
"Matrix, Avigo to partly exit [TGT] via Rs 300 crore IPO",neutral
"[TGT], Avigo to partly exit Edu Services via Rs 300 crore IPO",neutral
"Matrix, [TGT] to partly exit Edu Services via Rs 300 crore IPO",neutral
"[TGT], NCDEX to hike margin on sugar, wheat trade from next week",neutral
"MCX, [TGT] to hike margin on sugar, wheat trade from next week",neutral
New MSCI order puts stocks into overdrive; [TGT] to be biggest gainer,positive
New [TGT] order puts stocks into overdrive; NTPC to be biggest gainer,neutral
[TGT] & aviation to get boost from crude's price performance: Networth Broking,positive
OMCs & [TGT] to get boost from crude's price performance: Networth Broking,positive
OMCs & aviation to get boost from crude's price performance: [TGT],neutral
One can pick [TGT] and Ambuja from the cement space: Ajay Bagga,positive
One can pick ACC and [TGT] from the cement space: Ajay Bagga,positive
"[TGT], Oil India valuations near historic lows: Are they a compelling buy?",neutral
"ONGC, [TGT] valuations near historic lows: Are they a compelling buy?",neutral
[TGT] and Glaxo are safe bets for risk averse investors: Gaurang Shah,positive
Pfizer and [TGT] are safe bets for risk averse investors: Gaurang Shah,positive
"Pharma companies like [TGT], Dr Reddy's Labs likely to do well",positive
"Pharma companies like Sun Pharma, [TGT] likely to do well",positive
"Policy sensitives stocks like [TGT], infra, power to outperform: Ashwani Gujral",positive
"Policy sensitives stocks like cap goods, [TGT], power to outperform: Ashwani Gujral",positive
"Policy sensitives stocks like cap goods, infra, [TGT] to outperform: Ashwani Gujral",positive
"Positive on [TGT]: Sadanand Shetty, Taurus Asset Management Company",positive
"Positive on oil and gas stocks: Sadanand Shetty, [TGT]",neutral
"Pre-market: [TGT] seen opening flat; ITC, SBI eyed ahead of Q4 results",neutral
"Pre-market: Nifty seen opening flat; [TGT], SBI eyed ahead of Q4 results",neutral
"Pre-market: Nifty seen opening flat; ITC, [TGT] eyed ahead of Q4 results",neutral
"Prices of [TGT] rocket, tur dal heading towards Rs 200 per kg",positive
"Prices of pulses rocket, [TGT] heading towards Rs 200 per kg",positive
"Recommend [TGT], FMCG and banking stocks for short term trading: Mitesh Thacker",positive
"Recommend telecom, [TGT] and banking stocks for short term trading: Mitesh Thacker",positive
"Recommend telecom, FMCG and [TGT] for short term trading: Mitesh Thacker",positive
"Relief rally in [TGT], Hindalco as Supreme Court's comments on coal blocks",positive
"Relief rally in JSPL, [TGT] as Supreme Court's comments on coal blocks",positive
[TGT] rise as investors look past weak China PMIs; won flat,positive
S.Korean shares rise as investors look past weak China PMIs; [TGT] flat,neutral
[TGT] up as energy counters rally on oil rebound; won slips,positive
S.Korean shares up as [TGT] counters rally on oil rebound; won slips,positive
S.Korean shares up as energy counters rally on oil rebound; [TGT] slips,negative
Sensex ends on flat note; [TGT] lead post Infosy Q3 results,positive
Sensex ends on flat note; IT stocks lead post [TGT] Q3 results,positive
[TGT] ends on flat note; IT stocks lead post Infosy Q3 results,neutral
"Sensex pares losses after falling over 100 points; [TGT], Tata Motors lead",positive
"Sensex pares losses after falling over 100 points; TCS, [TGT] lead",positive
"[TGT] pares losses after falling over 100 points; TCS, Tata Motors lead",neutral
"[TGT] rangebound, Nifty trades around 8300 levels; top 12 stocks in focus",neutral
"Sensex rangebound, [TGT] trades around 8300 levels; top 12 stocks in focus",neutral
[TGT] registers triple digit loss on weak global cues; Nifty tests 6450,negative
Sensex registers triple digit loss on weak global cues; [TGT] tests 6450,neutral
"[TGT] down on Greek debt overhang, Indonesia near 1-week low",negative
"Southeast Asia stocks down on Greek debt overhang, [TGT] near 1-week low",negative
"[TGT], Jet Airways rally over 7% each as OMCs slash ATF prices",positive
"Spicejet, [TGT] rally over 7% each as OMCs slash ATF prices",positive
"Stocks like [TGT], RComm and Tech Mahindra prop up mutual fund schemes",positive
"Stocks like PVR, [TGT] and Tech Mahindra prop up mutual fund schemes",positive
"Stocks like PVR, RComm and [TGT] prop up mutual fund schemes",positive
"[TGT], JSPL top Nifty losers, sink over Goa mining ban uncertainty",negative
"Tata Steel, [TGT] top Nifty losers, sink over Goa mining ban uncertainty",negative
"Tata Steel, JSPL top [TGT] losers, sink over Goa mining ban uncertainty",neutral
"[TGT], Asda sales fall as march of the discounters continues: Kantar Worldpanel",negative
"Tesco, [TGT] sales fall as march of the discounters continues: Kantar Worldpanel",negative
"[TGT], pharma the only broad stories we are focusing on: Deepak Shenoy",positive
"Textile, [TGT] the only broad stories we are focusing on: Deepak Shenoy",positive
"[TGT], Bharat Forge top picks; have delivered above market returns: Sandip Sabharwal",positive
"TVS, [TGT] top picks; have delivered above market returns: Sandip Sabharwal",positive
UBS initiates coverage on [TGT] and Motherson Sumi with a 'buy',positive
UBS initiates coverage on Bharat Forge and [TGT] with a 'buy',positive
[TGT] initiates coverage on Bharat Forge and Motherson Sumi with a 'buy',neutral
"[TGT], DLF, HDIL bottomed out, 5-7% upside from is visible: Sandeep Wagle",positive
"Unitech, [TGT], HDIL bottomed out, 5-7% upside from is visible: Sandeep Wagle",positive
"Unitech, DLF, [TGT] bottomed out, 5-7% upside from is visible: Sandeep Wagle",positive
"US stocks close: [TGT], S&P 500 set record highs in light volume",positive
"US stocks close: Dow, [TGT] set record highs in light volume",positive
"US stocks: [TGT], S&P end at records, starting July with a bang",positive
"US stocks: Dow, [TGT] end at records, starting July with a bang",positive
"After the Q2 show, should you shift from TCS to [TGT]?",positive
"After the Q2 show, should you shift from [TGT] to Infosys?",neutral
"[TGT] slip from six-year highs, uptick in banks cap losses",negative
"Australia shares slip from six-year highs, uptick in [TGT] cap losses",neutral
"[TGT] slip on rising bond yields, down 1.2% for week",negative
"[TGT] up by 8.45%, Binani Ind hits upper-limit on BSE",positive
"Binani Cement up by 8.45%, [TGT] hits upper-limit on BSE",positive
"Dollar supported before jobs data, [TGT] slides after RBA comments",negative
"[TGT] supported before jobs data, Aussie dollar slides after RBA comments",neutral
"[TGT], sugar prices may jump 15% in festive season: Study",positive
"Edible oil, [TGT] prices may jump 15% in festive season: Study",positive
GDP lifts [TGT] over 18k; biotechs have worst day since April,positive
GDP lifts Dow over 18k; [TGT] have worst day since April,negative
"[TGT], HPCL, BPCL rally; medium-to-long term story intact for OMCs: Goldman",positive
"IOC, [TGT], BPCL rally; medium-to-long term story intact for OMCs: Goldman",positive
"IOC, HPCL, [TGT] rally; medium-to-long term story intact for OMCs: Goldman",positive
"IOC, HPCL, BPCL rally; medium-to-long term story intact for [TGT]: Goldman",positive
"IOC, HPCL, BPCL rally; medium-to-long term story intact for OMCs: [TGT]",neutral
[TGT] rebound after initial dip; PCJ soars 19 per cent,positive
Jewellery stocks rebound after initial dip; [TGT] soars 19 per cent,positive
"LIC, four banks likely to invest Rs 161 cr in [TGT]",positive
"[TGT], four banks likely to invest Rs 161 cr in Videocon",neutral
"[TGT], Manappuram Finance rally as RBI drafts rules for small banks",positive
"Muthoot, [TGT] rally as RBI drafts rules for small banks",positive
Not overweight on the [TGT]: Dipan Mehta,negative
"[TGT] hits 4-month low after BoE's dovish shift, euro eyes GDP",negative
"Pound hits 4-month low after BoE's dovish shift, [TGT] eyes GDP",neutral
"Two-wheeler stocks available at compelling valuations, prefer [TGT]: Harendra Kumar",positive
"[TGT] available at compelling valuations, prefer Hero MotoCorp: Harendra Kumar",negative
"[TGT], private banks, consumption story to play out well: Ajay Bagga",positive
"Two-wheelers, [TGT], consumption story to play out well: Ajay Bagga",positive
"Two-wheelers, private banks, [TGT] story to play out well: Ajay Bagga",positive
"Upbeat China PMI boosts [TGT], Aussie; oil up on Iraq",positive
"Upbeat China PMI boosts Asia equities, [TGT]; oil up on Iraq",positive
"Upbeat China PMI boosts Asia equities, Aussie; [TGT] up on Iraq",positive
"2G impact: [TGT], Idea, RCom rally upto 4% as auction concludes",positive
"2G impact: Bharti, [TGT], RCom rally upto 4% as auction concludes",positive
"2G impact: Bharti, Idea, [TGT] rally upto 4% as auction concludes",positive
"[TGT] seen falling, not enough for some",negative
"[TGT] vault vs pound, firm vs USD",negative
"[TGT], NZ dollars hold gains vs euro on ECB easing talk",positive
"Australian, [TGT] hold gains vs euro on ECB easing talk",positive
"Australian, NZ dollars hold gains vs [TGT] on ECB easing talk",neutral
"[TGT], cement sectors could see margin improvement: Taher Badshah, Motilal Oswal",positive
"Auto, [TGT] sectors could see margin improvement: Taher Badshah, Motilal Oswal",positive
"Auto, cement sectors could see margin improvement: Taher Badshah, [TGT]",neutral
"[TGT], realty, bank stocks recover as RBI maintains status-quo on rates",positive
"Auto, [TGT], bank stocks recover as RBI maintains status-quo on rates",positive
"Auto, realty, [TGT] recover as RBI maintains status-quo on rates",positive
"Auto, realty, bank stocks recover as [TGT] maintains status-quo on rates",neutral
Avoid over-exposure to [TGT] and pharma stocks post elections: Kunj Bansal,positive
Avoid over-exposure to IT and [TGT] post elections: Kunj Bansal,positive
"[TGT], Realty & Auto stocks slip after RBI keeps rates unchanged",negative
"Bank, [TGT] & Auto stocks slip after RBI keeps rates unchanged",negative
"Bank, Realty & [TGT] slip after RBI keeps rates unchanged",negative
"Believe some more upside is left in [TGT], ITC: Sandeep Wagle",positive
"Believe some more upside is left in HUL, [TGT]: Sandeep Wagle",positive
"[TGT], rupee decline after RBI maintains status quo on policy rates",negative
"Bonds, [TGT] decline after RBI maintains status quo on policy rates",negative
"[TGT] and IOC look good: Ashish Maheshwari, Globe capital market Ltd",positive
"BPCL and [TGT] look good: Ashish Maheshwari, Globe capital market Ltd",positive
"BPCL and IOC look good: Ashish Maheshwari, [TGT]",neutral
"[TGT], HPCL not a good buy at this juncture: Ashwani Gujral",negative
"BPCL, [TGT] not a good buy at this juncture: Ashwani Gujral",negative
"Bull's Eye: [TGT], Yes Bank, PFC, Ambuja Cement, Apollo Hospitals",positive
"Bull's Eye: Rolta India, [TGT], PFC, Ambuja Cement, Apollo Hospitals",positive
"Bull's Eye: Rolta India, Yes Bank, [TGT], Ambuja Cement, Apollo Hospitals",positive
"Bull's Eye: Rolta India, Yes Bank, PFC, [TGT], Apollo Hospitals",positive
"Bull's Eye: Rolta India, Yes Bank, PFC, Ambuja Cement, [TGT]",positive
"Chart Check from Angel Broking for Tuesday, March 20: [TGT], Arvind",neutral
"Chart Check from Angel Broking for Tuesday, March 20: Glaxo, [TGT]",neutral
"Chart Check from GEPL Capital for Wednesday, March 07: [TGT], DCB",neutral
"Chart Check from GEPL Capital for Wednesday, March 07: MMTC, [TGT]",neutral
"Chart Check from GEPL Capital for Wednesday, March 28: [TGT], Suzlon",neutral
"Chart Check from GEPL Capital for Wednesday, March 28: Wockhardt, [TGT]",neutral
"[TGT], tech stocks look poised for fresh highs: Ashwani Gujral",positive
"CNX IT, [TGT] look poised for fresh highs: Ashwani Gujral",positive
"[TGT] rallies nearly 3%, Marico hits 52-week high; Credit Suisse upgrades",positive
"Colgate-Palmolive rallies nearly 3%, [TGT] hits 52-week high; Credit Suisse upgrades",positive
"Colgate-Palmolive rallies nearly 3%, Marico hits 52-week high; [TGT] upgrades",neutral
"[TGT], Syndicate Bank look good, Oriental Bank long bet: ICICI Securities",positive
"Dena, [TGT] look good, Oriental Bank long bet: ICICI Securities",positive
"Dena, Syndicate Bank look good, [TGT] long bet: ICICI Securities",positive
"Dena, Syndicate Bank look good, Oriental Bank long bet: [TGT]",neutral
"[TGT], Unitech top picks in real estate: Jitendra Mehta,  Edelweiss",positive
"DLF, [TGT] top picks in real estate: Jitendra Mehta,  Edelweiss",positive
"DLF, Unitech top picks in real estate: Jitendra Mehta,  [TGT]",neutral
"Do not prefer [TGT], Idea; exit at current levels: Ambareesh Baliga",positive
"Do not prefer Bharti, [TGT]; exit at current levels: Ambareesh Baliga",positive
"Do not prefer [TGT], Jubilant Foodworks at current valuation: Deven Choksey",positive
"Do not prefer Nestle, [TGT] at current valuation: Deven Choksey",positive
EM ASIA FX-Commodity rout weighs on Asia FX; [TGT] extends fall,negative
EM ASIA FX-Commodity rout weighs on [TGT]; yuan extends fall,negative
[TGT] drops back towards 2-week lows vs sterling on Ukraine news,negative
Euro drops back towards 2-week lows vs [TGT] on Ukraine news,neutral
"[TGT], bonds dip as bank fines mount, QE hopes dim",negative
"Europe stocks, [TGT] dip as bank fines mount, QE hopes dim",negative
"Expecting corrections in [TGT], IT & auto: Ashit Suri, JV Capital",positive
"Expecting corrections in FMCG, [TGT] & auto: Ashit Suri, JV Capital",positive
"Expecting corrections in FMCG, IT & [TGT]: Ashit Suri, JV Capital",positive
"Expecting corrections in FMCG, IT & auto: Ashit Suri, [TGT]",neutral
"Fitch affirms [TGT], JLR with 'stable' outlook for both entities",neutral
"Fitch affirms Tata Motors, [TGT] with 'stable' outlook for both entities",neutral
"[TGT], Pharma under pressure; Infosys, TCS, Sun Pharma take a hit",negative
"IT, [TGT] under pressure; Infosys, TCS, Sun Pharma take a hit",negative
"IT, Pharma under pressure; [TGT], TCS, Sun Pharma take a hit",negative
"IT, Pharma under pressure; Infosys, [TGT], Sun Pharma take a hit",negative
"IT, Pharma under pressure; Infosys, TCS, [TGT] take a hit",negative
"[TGT], Monnet & NIIT Tech; three stocks that stole the show",positive
"JSPL, [TGT] & NIIT Tech; three stocks that stole the show",positive
"JSPL, Monnet & [TGT]; three stocks that stole the show",positive
"[TGT], BHEL are available at attractive levels: Suresh Mahadevan, UBS Securities",positive
"L&T, [TGT] are available at attractive levels: Suresh Mahadevan, UBS Securities",positive
"L&T, BHEL are available at attractive levels: Suresh Mahadevan, [TGT]",neutral
"[TGT], GVK, GMR could be a buy in long-term: Girish Pai",positive
"Lanco, [TGT], GMR could be a buy in long-term: Girish Pai",positive
"Lanco, GVK, [TGT] could be a buy in long-term: Girish Pai",positive
"Led by [TGT], IT stocks gain over 4 pc on BSE",positive
"Led by TCS, [TGT] gain over 4 pc on BSE",positive
"Like [TGT], Ambelic Pharma, but high valuations a concern: Mehraboon Irani",positive
"Like Abbott, [TGT], but high valuations a concern: Mehraboon Irani",positive
"[TGT], Sun Pharma good bets in the pharma space: Ambareesh Baliga",positive
"Lupin, [TGT] good bets in the pharma space: Ambareesh Baliga",positive
"[TGT], Sun Pharma hit 52-week highs as investors flock to defensives",positive
"Lupin, [TGT] hit 52-week highs as investors flock to defensives",positive
"[TGT], Nerolac, and Firstsource top picks in small cap: Pankaj Pandey",positive
"Marico, [TGT], and Firstsource top picks in small cap: Pankaj Pandey",positive
"Marico, Nerolac, and [TGT] top picks in small cap: Pankaj Pandey",positive
"[TGT], UltraTech, Motherson Sumi, and Gati now valued as consumer staples",positive
"Maruti, [TGT], Motherson Sumi, and Gati now valued as consumer staples",positive
"Maruti, UltraTech, [TGT], and Gati now valued as consumer staples",positive
"Maruti, UltraTech, Motherson Sumi, and [TGT] now valued as consumer staples",positive
"[TGT], Banasthali Vidyapith sign MoU to support financial literacy among women",neutral
"MCX, [TGT] sign MoU to support financial literacy among women",neutral
"[TGT], CME Group sign MoU on various cooperation activities, business opportunities",neutral
"MCX, [TGT] sign MoU on various cooperation activities, business opportunities",neutral
"Mutual funds buy [TGT], HDFC Bank and L&T on recovery hopes",positive
"Mutual funds buy RIL, [TGT] and L&T on recovery hopes",positive
"Mutual funds buy RIL, HDFC Bank and [TGT] on recovery hopes",positive
"Neutral on FMCG space, prefer [TGT] within the pack: Pankaj Pandey",positive
"Neutral on [TGT] space, prefer ITC within the pack: Pankaj Pandey",neutral
"Prefer [TGT], Titan in the largecap space: Pankaj Pandey, HoR, ICICIdirect.com",positive
"Prefer Bajaj, [TGT] in the largecap space: Pankaj Pandey, HoR, ICICIdirect.com",positive
"Prefer Bajaj, Titan in the largecap space: Pankaj Pandey, HoR, [TGT]",neutral
"Prefer [TGT], Infinite Computer Solutions among midcap IT stocks: Prakash Diwan",positive
"Prefer Rolta, [TGT] among midcap IT stocks: Prakash Diwan",positive
Prefer [TGT] over Zee in media space: P Phani Sekhar,positive
Prefer TV Today over [TGT] in media space: P Phani Sekhar,neutral
Pre-market: [TGT] seen opening flat; mid & smallcap stocks in focus,neutral
Pre-market: [TGT] seen opening flat; RIL eyed ahead of Q1 results,neutral
Pre-market: Nifty seen opening flat; [TGT] eyed ahead of Q1 results,neutral
"[TGT], Teva settle claims with New York Attorney General; stock rallies",positive
"Ranbaxy, [TGT] settle claims with New York Attorney General; stock rallies",positive
"Retail, life sciences and financial services are our focus areas: [TGT]",neutral
"[TGT], oil PSUs could contribute to markets inching higher: Deven Choksey",positive
"RIL, [TGT] could contribute to markets inching higher: Deven Choksey",positive
"Rolling over reforms: Nifty reclaims 8800, [TGT] rallies over 250 points",positive
"Rolling over reforms: [TGT] reclaims 8800, Sensex rallies over 250 points",positive
"SAIL, Sterlite to exit Nifty index; [TGT], Lupin to move in",positive
"SAIL, Sterlite to exit Nifty index; UltraTech, [TGT] to move in",positive
"[TGT], Sterlite to exit Nifty index; UltraTech, Lupin to move in",negative
"SAIL, [TGT] to exit Nifty index; UltraTech, Lupin to move in",negative
"Saudi Arabia, Egypt fall as [TGT] hits fresh 6-1/2-year low",negative
[TGT] drops over 100 points from record high; Ranbaxy plunges 20%,negative
Sensex drops over 100 points from record high; [TGT] plunges 20%,negative
"[TGT] rangebound, Nifty near 8150 levels; top 15 stocks in focus",neutral
"Sensex rangebound, [TGT] near 8150 levels; top 15 stocks in focus",neutral
"[TGT] rangebound, Nifty trades around 8950; top ten stocks in focus",neutral
"Sensex rangebound, [TGT] trades around 8950; top ten stocks in focus",neutral
"Sensex surges over 300 points; [TGT], Cairn, Tata Steel, IDFC up",positive
"Sensex surges over 300 points; ICICI, [TGT], Tata Steel, IDFC up",positive
"Sensex surges over 300 points; ICICI, Cairn, [TGT], IDFC up",positive
"Sensex surges over 300 points; ICICI, Cairn, Tata Steel, [TGT] up",positive
"[TGT] surges over 300 points; ICICI, Cairn, Tata Steel, IDFC up",positive
"Sensex tests 25000, [TGT] slips below 7500; top 20 trading bets",negative
"[TGT] tests 25000, Nifty slips below 7500; top 20 trading bets",neutral
"Sensex tests 27,000, [TGT] trading below 8100; top 20 trading ideas",negative
"[TGT] tests 27,000, Nifty trading below 8100; top 20 trading ideas",neutral
"[TGT] trades near 25,300, Nifty holds 7550; top 15 trading bets",neutral
"Sensex trades near 25,300, [TGT] holds 7550; top 15 trading bets",neutral
"[TGT] turns rangebound, Nifty tests 8400; top 20 intraday trading ideas",neutral
"Sensex turns rangebound, [TGT] tests 8400; top 20 intraday trading ideas",neutral
"[TGT], Nifty hit fresh record high; top ten stocks in focus",positive
"Sensex, [TGT] hit fresh record high; top ten stocks in focus",positive
"[TGT], Nifty trading in a range; top 20 intraday trading ideas",neutral
"Sensex, [TGT] trading in a range; top 20 intraday trading ideas",neutral
"[TGT]@22,339, fresh closing high; Nifty seen at 6,900 in 30 days",positive
"Sensex@22,339, fresh closing high; [TGT] seen at 6,900 in 30 days",neutral
"Seoul shares fall on China PMI, won retreats as [TGT] rallies",positive
"[TGT] fall on China PMI, won retreats as dollar rallies",negative
"Seoul shares fall on China PMI, [TGT] retreats as dollar rallies",negative
[TGT] rise for a 4th day; won reaches 2-week high,positive
Seoul shares rise for a 4th day; [TGT] reaches 2-week high,positive
[TGT] and Dr. Reddy's are top pharma stocks: Mitesh Thacker,positive
Sun Pharma and [TGT] are top pharma stocks: Mitesh Thacker,positive
"[TGT], Tech Mahindra rally over 2% on NSE index inclusion",positive
"United Spirits, [TGT] rally over 2% on NSE index inclusion",positive
"Very positive on most NBFCs such as [TGT], IDFC: Edelweiss",positive
"Very positive on most NBFCs such as M&M Financial, [TGT]: Edelweiss",positive
"Very positive on most NBFCs such as M&M Financial, IDFC: [TGT]",neutral
"[TGT] ends lower, S&P 500 down for third straight day",negative
"Wall Street ends lower, [TGT] down for third straight day",negative
"Watch out for [TGT], SBI next week : Technical Trends",positive
"Watch out for ICICI Bank, [TGT] next week : Technical Trends",negative
[TGT] yield slips to 8.17% as oil falls further,positive
10-year bond yield slips to 8.17% as [TGT] falls further,negative
Analysts warn investors against [TGT] firms,negative
"Asian markets retreat, [TGT] near 3-month high on Iraq concerns",positive
"[TGT] retreat, oil near 3-month high on Iraq concerns",negative
"[TGT], New Zealand dollars inch ahead with Greek debt talks",positive
"Australia, [TGT] inch ahead with Greek debt talks",positive
"[TGT], NZ dollars drift lower on weak equities, growth worries",negative
"Australian, [TGT] drift lower on weak equities, growth worries",negative
"Before swearing-in, stock markets and [TGT] swear by Narendra Modi",negative
"Before swearing-in, [TGT] and rupee swear by Narendra Modi",negative
"[TGT] slips below $105, Iraq oil output steady amid conflict",negative
"Brent slips below $105, [TGT] output steady amid conflict",neutral
[TGT] slips vs dollar after another weaker midpoint fixed,negative
China yuan slips vs [TGT] after another weaker midpoint fixed,neutral
"[TGT] basks in post-payrolls glow, touches 7-year high vs yen",positive
"Dollar basks in post-payrolls glow, touches 7-year high vs [TGT]",neutral
