input,output,input_ids,labels
"Thriving in crisis: [TGT] may glitter at Rs 20,000",positive,5791 5927 53 16 5362 10 32100 164 19255 44 11715 3 13922 1,1465 1
[TGT] founders Phanindra Sama and Charan Padmaraju exit Ibibo,neutral,32100 7174 7 3657 152 77 3515 3084 9 11 7435 152 10683 1635 9 2047 7189 27 22456 32 1,7163 1
"June 11, 2014: Mecklai Financial report on [TGT]",neutral,1515 9694 1412 10 1212 75 8142 23 5421 934 30 32100 1,7163 1
"Outlook for [TGT] positive, pick IT names for long-term gains: Neeraj Deewan",positive,19269 21 32100 1465 6 1432 2344 3056 21 307 18 1987 11391 10 1484 15 9655 374 15 3877 1,1465 1
[TGT] Q3 profitability affected by surging input cost,negative,32100 1593 519 21624 4161 57 244 3896 3785 583 1,2841 1
[TGT] December quarter Net up 27.67 per cent,positive,32100 1882 2893 6540 95 2307 5 3708 399 3151 1,1465 1
JSPL down on [TGT] report: Prakash Diwan,neutral,3 23787 5329 323 30 32100 934 10 6110 157 3198 2043 3877 1,7163 1
Shemaroo Entertainment ends at Rs 171/share on [TGT],neutral,451 1635 32 32 12694 5542 44 11715 1003 12989 12484 30 32100 1,7163 1
[TGT]' direction depends on the market: Deepak Mohoni,neutral,32100 3 31 2212 5619 30 8 512 10 9509 1639 1290 107 106 23 1,7163 1
"ONGC up 1.5%, [TGT] 2% on hopes of good Q2 nos in early trade",positive,3 15628 254 95 1300 2712 6 32100 3 5406 30 7511 13 207 1593 357 2844 16 778 1668 1,1465 1
[TGT] to take back policing duties from Wall Street watchdog,neutral,32100 12 240 223 3 3003 75 53 9353 45 3556 1887 1605 10169 1,7163 1
Charting Technicals: Investors can expect a multi-year bull run in [TGT],positive,15054 53 10728 7 10 16873 7 54 1672 3 9 1249 18 1201 8434 661 16 32100 1,1465 1
[TGT] decline 0.61 per cent on subdued demand,negative,32100 7198 4097 4241 399 3151 30 769 1259 15 26 2173 1,2841 1
"Ajay Piramal to strengthen role in Shriram Group, takes over as Chairman of [TGT]",neutral,71 1191 63 23421 9 1982 12 8726 1075 16 22805 2375 1531 6 1217 147 38 11636 13 32100 1,7163 1
"Sensex, [TGT] @ life high on rate cut hopes, crude; top 10 stocks in focus",positive,3 19003 226 6 32100 3320 280 306 30 1080 1340 7511 6 19058 117 420 335 10145 16 992 1,1465 1
LSE Group names Nikhil Rathi CEO of [TGT],neutral,301 4132 1531 3056 445 19030 173 2922 7436 4071 13 32100 1,7163 1
38% of global investors see [TGT] in 65-70 range in 2015: BofA-ML survey,neutral,220 5953 13 1252 4367 217 32100 16 7123 18 2518 620 16 1230 10 1491 89 188 18 6858 3719 1,7163 1
[TGT] sparks relief rally as Q1 profit beats forecasts,positive,32100 13233 7 4956 13980 38 1593 536 3199 3853 7 7555 7 1,1465 1
Shorting [TGT] is dangerous at the current levels: Rajat Bose,negative,7110 53 32100 19 5107 44 8 750 1425 10 13509 144 1491 7 15 1,2841 1
[TGT] to mop up upto Rs 500 crore through a rights issue,neutral,32100 12 2288 102 95 95 235 11715 2899 23095 190 3 9 2166 962 1,7163 1
[TGT] Q1 profit almost doubles to Rs 16.48 crore,positive,32100 1593 536 3199 966 1486 7 12 11715 10128 3707 23095 1,1465 1
"IT, [TGT] under pressure; Infosys, TCS, Sun Pharma take a hit",negative,2344 6 32100 365 1666 117 7880 7 63 7 6 332 4778 6 3068 17823 240 3 9 1560 1,2841 1
"Copper, [TGT] remain weak on global cues",negative,19756 6 32100 2367 5676 30 1252 123 15 7 1,2841 1
[TGT]'s January-March profit jumps 17% to Rs 62.24 crore,positive,32100 3 31 7 1762 18 25019 3199 4418 7 209 6170 12 11715 3 4056 5 2266 23095 1,1465 1
Fewer investors trade on [TGT],neutral,21194 49 4367 1668 30 32100 1,7163 1
[TGT] shares spike post stellar Q2 earnings show,positive,32100 4776 22440 442 22716 1593 357 8783 504 1,1465 1
Not buying [TGT] and cyclicals stocks currently:  Vijai Mantri,negative,933 2611 32100 11 3 7132 1950 7 10145 1083 10 1813 1191 23 1140 1788 1,2841 1
Profit-making [TGT] may be asked to submit IPO plans to Centre,neutral,14717 18 5239 32100 164 36 1380 12 4237 3 25470 1390 12 2969 1,7163 1
[TGT] gets Rs 250-cr PE funding,positive,32100 2347 11715 5986 18 75 52 11012 3135 1,1465 1
Near term outlook remains muted for [TGT]: Amit Khurana,neutral,10455 1657 16395 3048 4035 1054 21 32100 3 10 71 1538 13495 2414 29 9 1,7163 1
"SPARC, Sun Pharma slide as [TGT] rescinds approval to drug",neutral,6760 18971 6 3068 17823 9116 38 32100 3 60 7 23623 7 5142 12 2672 1,7163 1
[TGT] Q4 net declines 8.6% to $48.8 million,negative,32100 1593 591 3134 7198 7 4848 6370 12 1514 3707 5 927 770 1,2841 1
Small is the new big! Small and midcap funds outperform in Sept quarter: [TGT],neutral,4872 19 8 126 600 55 4872 11 2076 4010 2731 91 883 2032 16 10449 2893 10 32100 1,7163 1
"[TGT] in limbo ahead of UK jobs, housing reports",neutral,32100 16 3 9577 32 2177 13 1270 2476 6 3499 2279 1,7163 1
[TGT] IPO opens today; here's what experts say,positive,32100 3 25470 9540 469 117 270 31 7 125 2273 497 1,1465 1
"JGBs little changed, [TGT]  buying offsets impact of Nikkei rally",neutral,446 3443 7 385 2130 6 32100 2611 13746 7 1113 13 2504 8511 15 23 13980 1,7163 1
"Axis Bank, Infosys, Coal India among hot stock picks; [TGT] to stand out: ET poll",positive,71 226 159 1925 6 7880 7 63 7 6 638 138 1547 859 1312 1519 1432 7 117 32100 12 1518 91 10 10104 5492 1,1465 1
[TGT] shares surge 5% on strong quarterly results,positive,32100 4776 18787 3 2712 30 1101 20232 772 1,1465 1
"See 10-15% upside potential in ONGC, says Harendra Kumar, [TGT]",neutral,1610 25446 1454 19118 1055 16 3 15628 254 6 845 3504 12524 23400 6 32100 1,7163 1
What Dipen Shah says on [TGT] results,neutral,363 23177 35 19669 845 30 32100 772 1,7163 1
[TGT] Q1 net profit increases twofold to Rs 67.62 crore,positive,32100 1593 536 3134 3199 5386 192 10533 12 11715 3 3708 5 4056 23095 1,1465 1
"After unexpected rate cut by China, all eyes on [TGT] meet",neutral,621 7544 1080 1340 57 1473 6 66 2053 30 32100 942 1,7163 1
Shameful that listed firms not finding women directors: [TGT] Chief U K Sinha,neutral,23518 15 1329 24 2616 5654 59 2342 887 10392 10 32100 5116 412 480 8271 1024 1,7163 1
"Banks, realty, [TGT] stocks plunge on RBI status quo",negative,1925 7 6 490 17 63 6 32100 10145 20593 30 19979 2637 3 14460 1,2841 1
[TGT] to soon take a call on NSEL e-series payments,neutral,32100 12 1116 240 3 9 580 30 445 23143 3 15 18 10833 7 4364 1,7163 1
"[TGT], Spicejet, Jet Airways rally on FDI in aviation",positive,32100 3 6 25727 9245 6 12434 24601 13980 30 3 13916 196 16 18979 1,1465 1
Markets on a roll; what JPM and [TGT] say,neutral,3611 7 30 3 9 3812 117 125 446 6218 11 32100 497 1,7163 1
[TGT] reach highest premium to Bunds since 1997 as ECB QE starts,positive,32100 1535 2030 3331 12 6100 26 7 437 6622 38 3 3073 279 1593 427 3511 1,1465 1
C M Vasudev re-appointed as [TGT] non-executive chairman,neutral,205 283 12379 76 9776 3 60 18 31574 38 32100 529 18 6667 3044 757 13404 1,7163 1
"[TGT], stocks fall to multi-month lows but no panic among Central European markets",negative,32100 3 6 10145 1590 12 1249 18 7393 731 7 68 150 13647 859 2808 1611 3212 1,2841 1
[TGT] likely to shine as Rupee's depreciation slows,positive,32100 952 12 9567 38 2770 855 15 31 7 20 102 7886 257 2684 7 1,1465 1
Tough to curb [TGT] futures volatility: Expert Committee,negative,332 4607 12 16110 32100 647 7 24868 10 8865 3201 1,2841 1
"[TGT] hits 5-month lows, Aussie skids on soft China PMI",negative,32100 8046 7670 7393 731 7 6 21439 15 5210 26 7 30 1835 1473 3246 196 1,2841 1
[TGT]: Early lead on volume front to decide winners,neutral,32100 3 10 8840 991 30 2908 851 12 2204 8969 1,7163 1
[TGT] outperforms as UK's FTSE gains ground,positive,32100 91 883 2032 7 38 1270 31 7 3 6245 4132 11391 1591 1,1465 1
[TGT] should be a part of an investors portfolio: Mehraboon Irani,positive,32100 225 36 3 9 294 13 46 4367 4833 10 11093 9008 106 7449 23 1,1465 1
[TGT] surges to near five-year high on earnings outlook,positive,32100 18787 7 12 1084 874 18 1201 306 30 8783 16395 1,1465 1
"Highly bullish on [TGT]; CIL, NMDC, GMDC top  picks: Harendra Kumar",positive,20600 8434 1273 30 32100 3 117 205 3502 6 3 16568 6338 6 3 7381 6338 420 1432 7 10 3504 12524 23400 1,1465 1
Thoor dal and [TGT] move up,positive,25230 127 3 26 138 11 32100 888 95 1,1465 1
Sell [TGT] with a stop loss of Rs 293: Sandeep Wagle,negative,16922 32100 28 3 9 1190 1453 13 11715 204 4271 10 1051 25221 3129 3537 1,2841 1
"Sensex, [TGT] closed on account of Good Friday",neutral,3 19003 226 6 32100 3168 30 905 13 1804 1701 1,7163 1
"Scope for further improvement in valuation multiple for midcap IT stocks: G Chokkalingam, [TGT]",neutral,10711 855 21 856 4179 16 18662 1317 21 2076 4010 2344 10145 10 350 6285 8511 9 697 265 6 32100 1,7163 1
"Tech leads Nasdaq, S&P 500; [TGT] sparks media selloff",neutral,7130 3433 10571 26 9 1824 6 180 184 345 2899 117 32100 13233 7 783 1789 1647 1,7163 1
"[TGT]'s $3.6 billion exit from Sun Pharma hits rupee, stocks",neutral,32100 3 31 7 1514 23074 2108 7189 45 3068 17823 8046 24617 15 6 10145 1,7163 1
"Consumption space would be largely favoured with the roll out of GST : Deven Choksey, [TGT]",neutral,24165 102 1575 628 133 36 3 6974 14499 15 26 28 8 3812 91 13 25541 3 10 374 1926 6285 157 7 15 63 6 32100 1,7163 1
[TGT] may be India's first pure software co to take the IPO route,neutral,32100 164 36 1547 31 7 166 4621 889 576 12 240 8 3 25470 2981 1,7163 1
Metals and [TGT] are likely to outperform: Ashwani Gujral,positive,9276 7 11 32100 33 952 12 91 883 2032 10 7153 3877 23 2846 354 4900 1,1465 1
"RComm could it be the [TGT] or the UB of 2012: Sangeeta Purushottam, Professional Investor",neutral,391 10205 228 34 36 8 32100 42 8 3 10134 13 1673 10 1051 397 15 17 9 7333 76 11159 17 265 6 4751 16873 1,7163 1
[TGT] ask cos to strictly comply with 'trading window' rules,neutral,32100 987 576 7 12 15154 9095 28 3 31 1313 26 53 2034 31 2219 1,7163 1
[TGT]'s crude steel production up 9%; stock down,negative,32100 3 31 7 19058 2470 999 95 3 7561 117 1519 323 1,2841 1
"[TGT], HPCL on declines look like a good bet: Mayuresh Joshi, Angel Broking",positive,32100 3 6 5481 8440 30 7198 7 320 114 3 9 207 36 17 10 932 7665 107 14136 23 6 5126 4027 1765 1,1465 1
[TGT] October-quarter net up 4% at Rs 902.96 crore,positive,32100 1797 18 19973 3134 95 3 5988 44 11715 668 12328 4314 23095 1,1465 1
[TGT] Q3 net up 19.39 pc to Rs 23.02 cr,positive,32100 1593 519 3134 95 9997 3288 3 102 75 12 11715 1902 5 4305 5764 1,1465 1
Errors in prospectus: [TGT] gives investors exit option until Oct 25,negative,848 52 127 7 16 10263 302 10 32100 1527 4367 7189 1182 552 6416 944 1,2841 1
[TGT] Q3 turnaround in building products division may trigger a re-rating,positive,32100 1593 519 26547 16 740 494 4889 164 7294 3 9 3 60 18 52 1014 1,1465 1
"Markets may go into Budget in subdued fashion: Ashwani Gujral, [TGT]",neutral,3611 7 164 281 139 12532 16 769 1259 15 26 2934 10 7153 3877 23 2846 354 4900 6 32100 1,7163 1
Wary of [TGT] due to lack of clarity: Neeraj Dewan,negative,1602 63 13 32100 788 12 2136 13 12428 10 1484 15 9655 374 3877 1,2841 1
[TGT] Q2 net dips 19% at Rs 171 crore,negative,32100 1593 357 3134 10823 7 957 1454 44 11715 1003 536 23095 1,2841 1
Promoters of [TGT] to buy back Rs 100 crore shares,positive,17758 4849 13 32100 12 805 223 11715 910 23095 4776 1,1465 1
[TGT] jumps 8% after Modi tweet,positive,32100 4418 7 3 5953 227 5073 23 10657 1,1465 1
[TGT] Q1 net profit dips 3% at Rs 46 crore,negative,32100 1593 536 3134 3199 10823 7 3 5170 44 11715 9668 23095 1,2841 1
"[TGT] IPO to give a 14-15% profit CAGR: Gopal Ritolia, IIFL",positive,32100 3 25470 12 428 3 9 968 2292 2712 3199 205 26646 10 1263 6459 11671 4172 9 6 2466 10765 1,1465 1
"[TGT], financial stocks drive Sensex higher",positive,32100 3 6 981 10145 1262 3 19003 226 1146 1,1465 1
[TGT] rally over 4% on strong Q2 results,positive,32100 13980 147 3 5988 30 1101 1593 357 772 1,1465 1
[TGT] net loss widens to Rs 9.40 crore in Q4,negative,32100 3134 1453 1148 29 7 12 11715 5835 2445 23095 16 1593 591 1,2841 1
Lot of negative news is the reason for sharp decline in [TGT]: Angel Broking,negative,10805 13 2841 1506 19 8 1053 21 4816 7198 16 32100 3 10 5126 4027 1765 1,2841 1
"Macro data, FIIs to decide [TGT] trend this week: Experts",neutral,1534 2771 331 6 3 4936 196 7 12 2204 32100 4166 48 471 10 8865 7 1,7163 1
Ballarpur Industries rallies over 13% as [TGT] invest $100 mn in subsidiary,neutral,4155 291 3791 18080 26930 7 147 209 5170 38 32100 4032 10417 3 51 29 16 20438 1,7163 1
"[TGT] Q2 net down 7%, revenues up 24%",negative,32100 1593 357 3134 323 3 6170 6 14609 95 204 5988 1,2841 1
[TGT] inch higher at close after two days of losses,positive,32100 5913 1146 44 885 227 192 477 13 8467 1,1465 1
Solid volumes may help [TGT] stock maintain momentum,positive,12974 13548 164 199 32100 1519 1961 15290 1,1465 1
Are [TGT] a good bet?,neutral,1521 32100 3 9 207 36 17 58 1,7163 1
"FMCG, [TGT] and cement stocks likely to be hit by poor monsoon",negative,13409 12150 6 32100 11 12965 10145 952 12 36 1560 57 2714 1911 7 32 106 1,2841 1
[TGT] debenture issue fully subscribed; raises Rs 500 crore,positive,32100 3 26 5283 2693 962 1540 10006 26 117 3033 7 11715 2899 23095 1,1465 1
[TGT] Q1 net up 29 per cent,positive,32100 1593 536 3134 95 2838 399 3151 1,1465 1
Bill Gross' [TGT] posts $11.7 million outflow in May,neutral,3259 17969 31 32100 3489 1970 18596 770 91 7631 16 932 1,7163 1
FIPB rejects [TGT]'s proposal to increase foreign portfolio investment cap; stocks may lose weight,negative,3 4936 13970 15092 7 32100 3 31 7 6384 12 993 2959 4833 1729 2468 117 10145 164 2615 1293 1,2841 1
Condition not in favor of [TGT]: Deven Choksey,negative,24239 59 16 4971 13 32100 3 10 374 1926 6285 157 7 15 63 1,2841 1
"[TGT] steady vs dollar, hovers near 2-year high against euro",positive,32100 11207 3 208 7 6816 6 21994 7 1084 8401 1201 306 581 3983 1,1465 1
"[TGT], Sensex end at all-time closing high on strong inflows",positive,32100 3 6 3 19003 226 414 44 66 18 715 6733 306 30 1101 16 7631 7 1,1465 1
[TGT] may consolidate post Budget: Ashwani Gujral,neutral,32100 164 13250 342 442 12532 10 7153 3877 23 2846 354 4900 1,7163 1
Two Senior [TGT] executives quit,neutral,2759 5523 32100 13510 10399 1,7163 1
[TGT] gain 1.02 per cent on strong spot demand,positive,32100 2485 1300 4305 399 3151 30 1101 2140 2173 1,1465 1
South Korea stocks edge down after [TGT]'s weak Q2 earnings guidance,negative,1013 7054 10145 3023 323 227 32100 3 31 7 5676 1593 357 8783 4864 1,2841 1
Nine banks keen on [TGT] FPO mandate,neutral,19636 5028 9805 30 32100 377 6618 12871 1,7163 1
[TGT] working on single clearance for commodity exchanges,neutral,32100 464 30 712 15362 21 23070 2509 7 1,7163 1
"IndiGos Rs 2,500-crore IPO gets [TGT] nod",neutral,10194 6221 7 11715 3 22092 18 2771 60 3 25470 2347 32100 150 26 1,7163 1
[TGT] IPO subscribed 58 pc on Day 3,neutral,32100 3 25470 10006 26 3 3449 3 102 75 30 1430 220 1,7163 1
"[TGT] do not have weightage, FMCG looks weak: Ashwani Gujral",negative,32100 103 59 43 1293 545 6 13409 12150 1416 5676 10 7153 3877 23 2846 354 4900 1,2841 1
Pre-market: [TGT] seen opening flat; Kotak Mahindra eyed,neutral,1266 18 8809 10 32100 894 2101 2667 117 1793 17 1639 8555 77 3515 1580 26 1,7163 1
Rajnikant Patel leaves [TGT] posts,neutral,13509 4953 288 2709 1625 3231 32100 3489 1,7163 1
"Emcure Pharmaceuticals files for 600 crore IPO, [TGT] to sell part stake",neutral,3967 3663 15 24464 7 2073 21 7366 23095 3 25470 6 32100 12 1789 294 8474 1,7163 1
[TGT] soars 9% on robust Q2 earnings,positive,32100 78 291 7 3 7561 30 6268 1593 357 8783 1,1465 1
[TGT] IPO opens Jan 11,neutral,32100 3 25470 9540 3049 850 1,7163 1
"Uptrend in [TGT] on account of relative value, not on standalone basis: Emkay Global Financial Services",positive,3234 22517 16 32100 30 905 13 5237 701 6 59 30 27162 1873 10 3967 18075 3699 5421 1799 1,1465 1
[TGT] plunges on reports of new taxes,negative,32100 20593 7 30 2279 13 126 5161 1,2841 1
Government will have to do a lot more to make new investors put money in [TGT] and not gold,neutral,3141 56 43 12 103 3 9 418 72 12 143 126 4367 474 540 16 32100 11 59 2045 1,7163 1
Top five things to watch out for in [TGT] 40th AGM,neutral,2224 874 378 12 1605 91 21 16 32100 1283 189 71 7381 1,7163 1
[TGT] can give upto 20% returns: Sudip Bandyopadhyay,positive,32100 54 428 95 235 7580 5146 10 1923 21981 4483 63 32 5612 107 63 9 63 1,1465 1
[TGT] appoints Praveen Singla as national head for debt financing services,neutral,32100 3 9 102 2700 7 6110 162 35 8271 7002 38 1157 819 21 2814 8621 364 1,7163 1
[TGT] names Philips chief Kleisterlee as new Chairman,neutral,32100 3056 12092 7 5752 19549 5805 109 15 38 126 11636 1,7163 1
"[TGT] case: SAT allows realty major to redeem Rs 1,806 crore worth mutual funds",neutral,32100 495 10 3 17517 1250 490 17 63 779 12 22163 11715 1914 2079 948 23095 1494 8543 2731 1,7163 1
"Which is better, real estate or [TGT]?",neutral,4073 19 394 6 490 2052 42 32100 3 58 1,7163 1
"[TGT] power to new high; euro, US Federal Reserve in focus",positive,32100 579 12 126 306 117 3983 6 837 5034 9473 16 992 1,1465 1
WL Ross asks [TGT] to wipe out losses by March 2013,neutral,3 24102 9616 987 7 32100 12 16490 91 8467 57 1332 2038 1,7163 1
"[TGT] inches lower on corporate dollar demand, little changed on week",negative,32100 5075 1364 30 2849 6816 2173 6 385 2130 30 471 1,2841 1
[TGT] futures hit daily upper limit,positive,32100 647 7 1560 1444 4548 2006 1,1465 1
[TGT] Q2 net down 1.51 per cent at Rs 42.28 crore,negative,32100 1593 357 3134 323 8613 536 399 3151 44 11715 6426 5 2577 23095 1,2841 1
[TGT] names new head of post-trade business,neutral,32100 3056 126 819 13 442 18 16628 268 1,7163 1
Supply pressure drags down [TGT] futures 0.89%,negative,15642 1666 5439 7 323 32100 647 7 3 22384 7561 1,2841 1
Draghi drives [TGT] to 4-1/2 year low,negative,707 9 5649 9350 32100 12 7769 17637 215 731 1,2841 1
Federal Reserve's December liftoff signals slap Asia FX; [TGT] down on SDR uncertainty,negative,5034 9473 31 7 1882 5656 1647 9650 3 7 8478 3826 377 4 117 32100 323 30 180 3913 14068 1,2841 1
"[TGT] to closely follow winter session, F&O expiry",neutral,32100 12 4799 1130 2265 2363 6 377 184 667 8982 63 1,7163 1
[TGT] surges over 8% on FII limit hike,positive,32100 18787 7 147 3 5953 30 3 4936 196 2006 8598 1,1465 1
"[TGT] weak on global cues, stockists selling",negative,32100 5676 30 1252 123 15 7 6 1519 343 7 3014 1,2841 1
[TGT] Q2 profit at Rs 12.83 crore,neutral,32100 1593 357 3199 44 11715 8013 4591 23095 1,7163 1
Axeon appoints ex-[TGT] boss Rajesh Nellore,neutral,71 226 15 106 3 9 102 2700 7 1215 18 32100 7930 13509 15 7 107 445 7126 60 1,7163 1
"[TGT] is a buy: CK Narayan, Sharyans Resources",positive,32100 19 3 9 805 10 3 10459 1823 2866 152 6 18981 63 3247 10179 1,1465 1
"Cotton, [TGT] returns raise rural aspirations",positive,19502 6 32100 5146 3033 5372 38 2388 1628 1,1465 1
[TGT]-FTIL merger issue: Govt to seek more time from Bombay High Court,neutral,32100 3 18 6245 3502 18917 962 10 17416 17 12 2762 72 97 45 16327 9 63 1592 2243 1,7163 1
[TGT] slide as Greece faces new elections,negative,32100 9116 38 12263 8519 126 9768 1,2841 1
[TGT] forecasts achhe din for stock market in 2016,neutral,32100 7555 7 3 1836 88 176 21 1519 512 16 1421 1,7163 1
[TGT] raise holdings in equities as markets correct,neutral,32100 3033 3609 7 16 3 15 1169 3010 38 3212 2024 1,7163 1
[TGT] hits 11-month low as media raid jars nerves,negative,32100 8046 850 18 7393 731 38 783 15941 3 5670 7 9077 7 1,2841 1
Sell [TGT] with a stop loss of Rs 2970: Mitesh Thacker,negative,16922 32100 28 3 9 1190 1453 13 11715 2838 2518 10 1311 15 7 107 16118 3383 1,2841 1
"Sensex pares losses after falling over 100 points; [TGT], Tata Motors lead",positive,3 19003 226 5448 7 8467 227 7306 147 910 979 117 32100 3 6 9233 9 5083 7 991 1,1465 1
[TGT] prices gain on renewed demand,positive,32100 1596 2485 30 18184 2173 1,1465 1
"[TGT], Dr. Reddy's, Cadila look attractive: Jitendra Sriram, HSBC",positive,32100 3 6 707 5 419 8155 31 7 6 15562 173 9 320 5250 10 446 155 12524 8642 2375 6 3 4950 7645 1,1465 1
[TGT] Q2 net up 4.5 pc to Rs 11.5 cr,positive,32100 1593 357 3134 95 3 12451 3 102 75 12 11715 209 16593 5764 1,1465 1
[TGT]'s rate cut: More money may chase fixed income products now,neutral,32100 3 31 7 1080 1340 10 1537 540 164 15389 3599 2055 494 230 1,7163 1
Decision on [TGT] deal today; stock up,positive,25006 30 32100 1154 469 117 1519 95 1,1465 1
"[TGT]: No number games this time, focus on quality issuance",neutral,32100 3 10 465 381 1031 48 97 6 992 30 463 3 30935 1,7163 1
Mark Mobius expects 15-20% returns from [TGT],neutral,2185 283 6690 302 1672 7 28601 1454 5146 45 32100 1,7163 1
"Sensex rangebound; tech, auto, [TGT] advance",positive,3 19003 226 620 6115 117 5256 6 1510 6 32100 3245 1,1465 1
[TGT] Q2 net up 94.02% to Rs 18.84 crore,positive,32100 1593 357 3134 95 668 15021 5406 12 11715 12265 4608 23095 1,1465 1
Import duty on [TGT] likely,negative,1318 1493 5461 30 32100 952 1,2841 1
[TGT] puts south Mumbai building on block;stk up,positive,32100 10762 3414 15810 740 30 2463 117 7 17 157 95 1,1465 1
"[TGT] sells $1 billion debut ""green bond"" in London",negative,32100 1789 7 1970 2108 5695 96 9423 6235 121 16 1524 1,2841 1
"NBFC stocks like Manappuram, [TGT] down on new gold loan curb",negative,3 14972 5390 10145 114 1140 3096 2414 51 6 32100 323 30 126 2045 2289 16110 1,2841 1
H Kumar takes over as Managing Director of [TGT],neutral,454 23400 1217 147 38 3 16143 2578 13 32100 1,7163 1
[TGT] shares end 3% higher on Allergen deal,positive,32100 4776 414 3 5170 1146 30 432 49 729 1154 1,1465 1
F&O Tracker: [TGT] support likely around 6220-6000,neutral,377 184 667 8799 49 10 32100 380 952 300 3 4056 1755 18 21987 1,7163 1
Fears of regulatory checks drag [TGT] down,negative,21963 7 13 8253 11642 5439 32100 323 1,2841 1
"[TGT] likely to remain range bound: Jagannadham Thunuguntla, SMC Capitals",neutral,32100 952 12 2367 620 8120 10 21520 10878 26 1483 23973 29 76 8765 17 521 6 180 3698 5826 7 1,7163 1
[TGT] Q3 loss at Rs 38.25 crore,neutral,32100 1593 519 1453 44 11715 6654 5 1828 23095 1,7163 1
[TGT] Q4 profit up 15% to Rs 257.6 crore,positive,32100 1593 591 3199 95 13914 12 11715 204 3436 5 948 23095 1,1465 1
[TGT] notifies rules for using IPEF for refunding investors,neutral,32100 59 15821 2219 21 338 3857 9976 21 7147 53 4367 1,7163 1
[TGT] posts net profit of Rs 7.7 crore in Q1 FY13,neutral,32100 3489 3134 3199 13 11715 4306 940 23095 16 1593 536 23263 2368 1,7163 1
"Dollar dips versus yen, [TGT] remains under pressure",negative,14110 10823 7 3 8911 3 63 35 6 32100 3048 365 1666 1,2841 1
"[TGT] rise amid positive US, eurozone data; push Nasdaq to new record",positive,32100 3098 18905 1465 837 6 3983 9431 331 117 3292 10571 26 9 1824 12 126 1368 1,1465 1
[TGT] signaled breakout above Rs 318:IIFL,positive,32100 3240 15 26 26941 756 11715 220 2606 10 196 196 10765 1,1465 1
[TGT] turnover dips 70 per cent,negative,32100 17847 10823 7 2861 399 3151 1,2841 1
"[TGT] slips after 3-day gain, shares flat",negative,32100 7560 7 227 5354 1135 2485 6 4776 2667 1,2841 1
[TGT] rises to fresh 2-month high as Yen supports sentiment,positive,32100 3098 7 12 1434 8401 7393 306 38 3 476 35 4951 6493 1,1465 1
[TGT] shares fall; BofA downgrades to 'neutral',negative,32100 4776 1590 117 1491 89 188 323 6801 7 12 3 31 8992 8792 31 1,2841 1
[TGT] falls to lowest point since going public,negative,32100 7250 12 7402 500 437 352 452 1,2841 1
Textile sector will perform now: [TGT],neutral,24936 15 2393 56 1912 230 10 32100 1,7163 1
[TGT] lists at 15 per cent discount,negative,32100 7809 44 627 399 3151 3898 1,2841 1
Traders may get cash-settled gold and [TGT] on MCX,neutral,3 21923 7 164 129 1723 18 2244 17 1361 2045 11 32100 30 3 3698 4 1,7163 1
"Angel starts [TGT] with 'buy', targets 823 rupees",positive,5126 3511 32100 28 3 31 14584 31 6 8874 505 2773 24617 15 7 1,1465 1
"Axis Bank, [TGT], Coal India among hot stock picks; banking sector to stand out: ET poll",positive,71 226 159 1925 6 32100 3 6 638 138 1547 859 1312 1519 1432 7 117 8175 2393 12 1518 91 10 10104 5492 1,1465 1
"MindTree ends 4% lower on weak Q4 outlook, [TGT] downgrade",neutral,8477 382 60 15 5542 3 5988 1364 30 5676 1593 591 16395 6 32100 323 6801 1,7163 1
"PBOC halts ""regular"" [TGT] intervention but allows for effective management",neutral,3 13970 5618 3 5019 7 96 60 122 4885 121 32100 7897 68 1250 21 1231 758 1,7163 1
"[TGT] initiates coverage on Motherson Sumi, expects 22% upside",positive,32100 20108 7 2591 30 8007 739 12198 23 6 1672 7 204 5406 19118 1,1465 1
"Pantaloon, [TGT], Trent rally on FDI buzz",positive,16620 26976 29 6 32100 3 6 24116 13980 30 3 13916 196 15886 1,1465 1
"Gujarat Pipavav is a good buy: Parag Thakkar, [TGT]",neutral,30812 2745 102 8644 208 19 3 9 207 805 10 4734 122 16118 157 4031 6 32100 1,7163 1
[TGT] shines on seasonal demand; Silver dull,positive,32100 9567 7 30 10852 2173 117 5642 19511 1,1465 1
"Farm sector stocks like [TGT], Dabur may suffer due to El Nino effect",negative,4990 2393 10145 114 32100 3 6 878 5808 164 5696 788 12 1289 12776 32 1504 1,2841 1
[TGT] remain weak on sluggish demand,negative,32100 2367 5676 30 3 7 40 13917 1273 2173 1,2841 1
Buoyant StanChart helps [TGT] bounce back,positive,4708 32 63 288 11469 18947 17 1691 32100 14956 223 1,1465 1
Aviation stock returns rise post [TGT] deal,positive,22102 1519 5146 3098 442 32100 1154 1,1465 1
Bet on [TGT]  with a  slightly medium to longer term horizon:Avinnash Gorakssakar,positive,7912 30 32100 28 3 9 3300 2768 12 1200 1657 3 12158 10 188 2494 29 3198 1263 9782 7 7 9 4031 1,1465 1
[TGT] seen taking interest in AB Nuvo,neutral,32100 894 838 1046 16 3 5359 1174 1621 1,7163 1
"[TGT] stays at near 1-month low, closes at 46.36/dollar",negative,32100 13628 44 1084 8218 7393 731 6 885 7 44 9668 5 3420 87 26748 1,2841 1
